Epoch | Average_Loss | LR | Time
-----|------------|----|-----
2026-01-15 12:04:10,319 | INFO | Лог обучения: epochs/logs/train_log_20260115_120350.txt
2026-01-15 12:04:10,319 | INFO | Файл состояния не найден: epochs/epoch_state.json
2026-01-15 12:04:10,319 | INFO | ✅ Начинаем обучение с нуля.
2026-01-15 12:04:16,289 | INFO | [EXT LOG] 2026-01-15 12:04:16 | Epoch 1 | Batch 0 | Loss 10.459729 | LM 10.389333 | Quantum 0.703960
2026-01-15 12:04:18,167 | INFO | [EXT LOG] 2026-01-15 12:04:18 | Epoch 1 | Batch 1 | Loss 10.279475 | LM 10.209284 | Quantum 0.701912
2026-01-15 12:04:19,812 | INFO | [EXT LOG] 2026-01-15 12:04:19 | Epoch 1 | Batch 2 | Loss 10.143163 | LM 10.073174 | Quantum 0.699884
2026-01-15 12:04:21,729 | INFO | [EXT LOG] 2026-01-15 12:04:21 | Epoch 1 | Batch 3 | Loss 10.032948 | LM 9.963163 | Quantum 0.697852
2026-01-15 12:04:23,382 | INFO | [EXT LOG] 2026-01-15 12:04:23 | Epoch 1 | Batch 4 | Loss 9.837789 | LM 9.768208 | Quantum 0.695814
2026-01-15 12:04:25,815 | INFO | [EXT LOG] 2026-01-15 12:04:25 | Epoch 1 | Batch 5 | Loss 10.041636 | LM 9.972258 | Quantum 0.693776
2026-01-15 12:04:27,450 | INFO | [EXT LOG] 2026-01-15 12:04:27 | Epoch 1 | Batch 6 | Loss 9.873152 | LM 9.803975 | Quantum 0.691763
2026-01-15 12:04:29,548 | INFO | [EXT LOG] 2026-01-15 12:04:29 | Epoch 1 | Batch 7 | Loss 9.751212 | LM 9.682239 | Quantum 0.689736
2026-01-15 12:04:31,307 | INFO | [EXT LOG] 2026-01-15 12:04:31 | Epoch 1 | Batch 8 | Loss 9.761946 | LM 9.693175 | Quantum 0.687703
2026-01-15 12:04:33,060 | INFO | [EXT LOG] 2026-01-15 12:04:33 | Epoch 1 | Batch 9 | Loss 9.620159 | LM 9.551593 | Quantum 0.685666
2026-01-15 12:04:35,107 | INFO | [EXT LOG] 2026-01-15 12:04:35 | Epoch 1 | Batch 10 | Loss 9.651477 | LM 9.583114 | Quantum 0.683629
2026-01-15 12:04:38,503 | INFO | [EXT LOG] 2026-01-15 12:04:38 | Epoch 1 | Batch 11 | Loss 9.504744 | LM 9.436585 | Quantum 0.681585
2026-01-15 12:04:40,494 | INFO | [EXT LOG] 2026-01-15 12:04:40 | Epoch 1 | Batch 12 | Loss 9.473686 | LM 9.405733 | Quantum 0.679533
2026-01-15 12:04:42,162 | INFO | [EXT LOG] 2026-01-15 12:04:42 | Epoch 1 | Batch 13 | Loss 9.491648 | LM 9.423901 | Quantum 0.677473
2026-01-15 12:04:44,320 | INFO | [EXT LOG] 2026-01-15 12:04:44 | Epoch 1 | Batch 14 | Loss 9.546438 | LM 9.478898 | Quantum 0.675401
2026-01-15 12:05:03,655 | INFO | [EXT LOG] 2026-01-15 12:05:03 | Epoch 1 | Batch 15 | Loss 9.405657 | LM 9.338326 | Quantum 0.673317
2026-01-15 12:05:42,563 | INFO | [EXT LOG] 2026-01-15 12:05:42 | Epoch 1 | Batch 16 | Loss 9.220959 | LM 9.153836 | Quantum 0.671226
2026-01-15 12:05:58,850 | INFO | [EXT LOG] 2026-01-15 12:05:58 | Epoch 1 | Batch 17 | Loss 9.329093 | LM 9.262178 | Quantum 0.669146
2026-01-15 12:06:04,990 | INFO | [EXT LOG] 2026-01-15 12:06:04 | Epoch 1 | Batch 18 | Loss 9.136330 | LM 9.069624 | Quantum 0.667060
2026-01-15 12:06:08,608 | INFO | [EXT LOG] 2026-01-15 12:06:08 | Epoch 1 | Batch 19 | Loss 9.203638 | LM 9.137141 | Quantum 0.664964
2026-01-15 12:06:11,029 | INFO | [EXT LOG] 2026-01-15 12:06:11 | Epoch 1 | Batch 20 | Loss 9.136555 | LM 9.070268 | Quantum 0.662870
2026-01-15 12:06:13,599 | INFO | [EXT LOG] 2026-01-15 12:06:13 | Epoch 1 | Batch 21 | Loss 8.947611 | LM 8.881535 | Quantum 0.660764
2026-01-15 12:06:15,575 | INFO | [EXT LOG] 2026-01-15 12:06:15 | Epoch 1 | Batch 22 | Loss 9.163395 | LM 9.097528 | Quantum 0.658671
2026-01-15 12:06:17,545 | INFO | [EXT LOG] 2026-01-15 12:06:17 | Epoch 1 | Batch 23 | Loss 9.031920 | LM 8.966264 | Quantum 0.656565
2026-01-15 12:06:19,548 | INFO | [EXT LOG] 2026-01-15 12:06:19 | Epoch 1 | Batch 24 | Loss 9.013822 | LM 8.948377 | Quantum 0.654445
2026-01-15 12:06:21,944 | INFO | [EXT LOG] 2026-01-15 12:06:21 | Epoch 1 | Batch 25 | Loss 8.824526 | LM 8.759295 | Quantum 0.652309
2026-01-15 12:06:24,630 | INFO | [EXT LOG] 2026-01-15 12:06:24 | Epoch 1 | Batch 26 | Loss 8.975582 | LM 8.910565 | Quantum 0.650169
2026-01-15 12:06:26,829 | INFO | [EXT LOG] 2026-01-15 12:06:26 | Epoch 1 | Batch 27 | Loss 8.978607 | LM 8.913804 | Quantum 0.648034
2026-01-15 12:06:28,924 | INFO | [EXT LOG] 2026-01-15 12:06:28 | Epoch 1 | Batch 28 | Loss 8.798194 | LM 8.733606 | Quantum 0.645880
2026-01-15 12:06:30,716 | INFO | [EXT LOG] 2026-01-15 12:06:30 | Epoch 1 | Batch 29 | Loss 8.652528 | LM 8.588156 | Quantum 0.643723
2026-01-15 12:06:32,939 | INFO | [EXT LOG] 2026-01-15 12:06:32 | Epoch 1 | Batch 30 | Loss 8.855177 | LM 8.791018 | Quantum 0.641591
2026-01-15 12:06:34,735 | INFO | [EXT LOG] 2026-01-15 12:06:34 | Epoch 1 | Batch 31 | Loss 8.672934 | LM 8.608985 | Quantum 0.639483
2026-01-15 12:06:37,787 | INFO | [EXT LOG] 2026-01-15 12:06:37 | Epoch 1 | Batch 32 | Loss 8.748563 | LM 8.684828 | Quantum 0.637351
2026-01-15 12:06:43,323 | INFO | [EXT LOG] 2026-01-15 12:06:43 | Epoch 1 | Batch 33 | Loss 8.805325 | LM 8.741803 | Quantum 0.635213
2026-01-15 12:06:45,653 | INFO | [EXT LOG] 2026-01-15 12:06:45 | Epoch 1 | Batch 34 | Loss 8.674049 | LM 8.610744 | Quantum 0.633057
2026-01-15 12:06:48,354 | INFO | [EXT LOG] 2026-01-15 12:06:48 | Epoch 1 | Batch 35 | Loss 8.862127 | LM 8.799038 | Quantum 0.630897
2026-01-15 12:06:50,596 | INFO | [EXT LOG] 2026-01-15 12:06:50 | Epoch 1 | Batch 36 | Loss 8.733087 | LM 8.670214 | Quantum 0.628731
2026-01-15 12:06:53,090 | INFO | [EXT LOG] 2026-01-15 12:06:53 | Epoch 1 | Batch 37 | Loss 9.173783 | LM 9.111127 | Quantum 0.626565
2026-01-15 12:06:56,629 | INFO | [EXT LOG] 2026-01-15 12:06:56 | Epoch 1 | Batch 38 | Loss 8.779742 | LM 8.717304 | Quantum 0.624383
2026-01-15 12:07:21,284 | INFO | [EXT LOG] 2026-01-15 12:07:21 | Epoch 1 | Batch 39 | Loss 8.673330 | LM 8.611111 | Quantum 0.622192
2026-01-15 12:07:38,376 | INFO | [EXT LOG] 2026-01-15 12:07:38 | Epoch 1 | Batch 40 | Loss 8.893136 | LM 8.831136 | Quantum 0.620006
2026-01-15 12:08:26,851 | INFO | [EXT LOG] 2026-01-15 12:08:26 | Epoch 1 | Batch 41 | Loss 8.748820 | LM 8.687037 | Quantum 0.617835
2026-01-15 12:08:47,552 | INFO | [EXT LOG] 2026-01-15 12:08:47 | Epoch 1 | Batch 42 | Loss 8.387088 | LM 8.325520 | Quantum 0.615679
2026-01-15 12:09:12,874 | INFO | [EXT LOG] 2026-01-15 12:09:12 | Epoch 1 | Batch 43 | Loss 8.680631 | LM 8.619275 | Quantum 0.613554
2026-01-15 12:09:34,653 | INFO | [EXT LOG] 2026-01-15 12:09:34 | Epoch 1 | Batch 44 | Loss 8.843933 | LM 8.782788 | Quantum 0.611444
2026-01-15 12:10:02,980 | INFO | [EXT LOG] 2026-01-15 12:10:02 | Epoch 1 | Batch 45 | Loss 8.554377 | LM 8.493444 | Quantum 0.609321
